"DATE","state","land_rig_count"
2000-01-07,"Alabama",2
2000-01-14,"Alabama",2
2000-01-21,"Alabama",1
2000-01-28,"Alabama",1
2000-02-04,"Alabama",0
2000-02-11,"Alabama",0
2000-02-18,"Alabama",0
2000-02-25,"Alabama",1
2000-03-03,"Alabama",2
2000-03-10,"Alabama",2
2000-03-17,"Alabama",0
2000-03-24,"Alabama",0
2000-03-31,"Alabama",0
2000-04-07,"Alabama",0
2000-04-14,"Alabama",0
2000-04-20,"Alabama",3
2000-04-28,"Alabama",3
2000-05-05,"Alabama",3
2000-05-12,"Alabama",2
2000-05-19,"Alabama",2
2000-05-26,"Alabama",1
2000-06-02,"Alabama",1
2000-06-09,"Alabama",1
2000-06-16,"Alabama",1
2000-06-23,"Alabama",1
2000-06-30,"Alabama",1
2000-07-07,"Alabama",1
2000-07-14,"Alabama",1
2000-07-21,"Alabama",0
2000-07-28,"Alabama",0
2000-08-04,"Alabama",0
2000-08-11,"Alabama",0
2000-08-18,"Alabama",0
2000-08-25,"Alabama",0
2000-09-01,"Alabama",0
2000-09-08,"Alabama",0
2000-09-15,"Alabama",0
2000-09-22,"Alabama",1
2000-09-29,"Alabama",1
2000-10-06,"Alabama",1
2000-10-13,"Alabama",1
2000-10-20,"Alabama",2
2000-10-27,"Alabama",3
2000-11-03,"Alabama",3
2000-11-10,"Alabama",3
2000-11-17,"Alabama",2
2000-11-22,"Alabama",1
2000-12-01,"Alabama",1
2000-12-08,"Alabama",2
2000-12-15,"Alabama",2
2000-12-21,"Alabama",2
2000-12-29,"Alabama",2
2001-01-05,"Alabama",2
2001-01-12,"Alabama",2
2001-01-19,"Alabama",2
2001-01-26,"Alabama",2
2001-02-02,"Alabama",1
2001-02-09,"Alabama",1
2001-02-16,"Alabama",1
2001-02-23,"Alabama",1
2001-03-02,"Alabama",1
2001-03-09,"Alabama",1
2001-03-16,"Alabama",0
2001-03-23,"Alabama",1
2001-03-30,"Alabama",1
2001-04-06,"Alabama",1
2001-04-12,"Alabama",1
2001-04-20,"Alabama",1
2001-04-27,"Alabama",1
2001-05-04,"Alabama",1
2001-05-11,"Alabama",1
2001-05-18,"Alabama",1
2001-05-25,"Alabama",1
2001-06-01,"Alabama",1
2001-06-08,"Alabama",1
2001-06-15,"Alabama",0
2001-06-22,"Alabama",0
2001-06-29,"Alabama",0
2001-07-06,"Alabama",0
2001-07-13,"Alabama",0
2001-07-20,"Alabama",1
2001-07-27,"Alabama",1
2001-08-03,"Alabama",1
2001-08-10,"Alabama",1
2001-08-17,"Alabama",2
2001-08-24,"Alabama",2
2001-08-31,"Alabama",2
2001-09-07,"Alabama",2
2001-09-14,"Alabama",3
2001-09-21,"Alabama",2
2001-09-28,"Alabama",2
2001-10-05,"Alabama",3
2001-10-12,"Alabama",3
2001-10-19,"Alabama",4
2001-10-26,"Alabama",4
2001-11-02,"Alabama",4
2001-11-09,"Alabama",4
2001-11-16,"Alabama",2
2001-11-21,"Alabama",2
2001-11-30,"Alabama",3
2001-12-07,"Alabama",3
